ID,Term,Date,utt_annotations,labels,sentiment,Speaker_party,Party_status,Party_orientation
ParlaMint-SI_2009-05-14-SDZ5-Redna-05.ana.u62,Term 5,2009-05-14,0.16,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-14-SDZ5-Redna-05.ana.u58,Term 5,2009-05-14,0.29,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-14-SDZ5-Redna-05.ana.u93,Term 5,2009-05-14,0.02,Negative,Negative,NeP,,
ParlaMint-SI_2009-05-14-SDZ5-Redna-05.ana.u64,Term 5,2009-05-14,0.0,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-14-SDZ5-Redna-05.ana.u66,Term 5,2009-05-14,1.15,Mixed Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-14-SDZ5-Redna-05.ana.u68,Term 5,2009-05-14,2.42,Neutral Negative,Neutral,SDS,Opposition,Right
ParlaMint-SI_2009-05-14-SDZ5-Redna-05.ana.u72,Term 5,2009-05-14,1.6,Neutral Negative,Neutral,SDS,Opposition,Right
ParlaMint-SI_2009-05-14-SDZ5-Redna-05.ana.u74,Term 5,2009-05-14,0.29,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-14-SDZ5-Redna-05.ana.u70,Term 5,2009-05-14,2.53,Neutral Positive,Neutral,SDS,Opposition,Right
ParlaMint-SI_2009-05-14-SDZ5-Redna-05.ana.u78,Term 5,2009-05-14,1.23,Mixed Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-14-SDZ5-Redna-05.ana.u80,Term 5,2009-05-14,2.15,Neutral Negative,Neutral,SDS,Opposition,Right
ParlaMint-SI_2009-05-14-SDZ5-Redna-05.ana.u82,Term 5,2009-05-14,0.2,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-14-SDZ5-Redna-05.ana.u83,Term 5,2009-05-14,0.14,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-14-SDZ5-Redna-05.ana.u85,Term 5,2009-05-14,0.0,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-14-SDZ5-Redna-05.ana.u87,Term 5,2009-05-14,0.02,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-14-SDZ5-Redna-05.ana.u89,Term 5,2009-05-14,0.06,Negative,Negative,NeP,,
ParlaMint-SI_2009-05-14-SDZ5-Redna-05.ana.u76,Term 5,2009-05-14,1.72,Neutral Negative,Neutral,SDS,Opposition,Right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u135,Term 5,2009-05-15,0.02,Negative,Negative,SNS,Opposition,Right to far-right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u125,Term 5,2009-05-15,0.22,Negative,Negative,SNS,Opposition,Right to far-right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u133,Term 5,2009-05-15,2.57,Neutral Positive,Neutral,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u131,Term 5,2009-05-15,0.0,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u137,Term 5,2009-05-15,0.05,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u129,Term 5,2009-05-15,3.18,Neutral Positive,Neutral,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u127,Term 5,2009-05-15,3.0,Neutral Positive,Neutral,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u123,Term 5,2009-05-15,2.99,Neutral Positive,Neutral,SNS,Opposition,Right to far-right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u109,Term 5,2009-05-15,1.0,Mixed Negative,Negative,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u119,Term 5,2009-05-15,0.0,Negative,Negative,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u117,Term 5,2009-05-15,0.07,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u115,Term 5,2009-05-15,0.4,Negative,Negative,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u113,Term 5,2009-05-15,0.0,Negative,Negative,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u111,Term 5,2009-05-15,0.62,Mixed Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u107,Term 5,2009-05-15,0.0,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u105,Term 5,2009-05-15,0.0,Negative,Negative,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u139,Term 5,2009-05-15,1.56,Neutral Negative,Neutral,Zares,Coalition,Centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u103,Term 5,2009-05-15,0.0,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u121,Term 5,2009-05-15,3.0,Neutral Positive,Neutral,SNS,Opposition,Right to far-right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u141,Term 5,2009-05-15,1.19,Mixed Negative,Negative,Zares,Coalition,Centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u181,Term 5,2009-05-15,0.15,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u145,Term 5,2009-05-15,1.71,Neutral Negative,Neutral,Zares,Coalition,Centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u101,Term 5,2009-05-15,0.31,Negative,Negative,NeP,,
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u189,Term 5,2009-05-15,0.13,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u187,Term 5,2009-05-15,1.31,Mixed Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u185,Term 5,2009-05-15,1.87,Neutral Negative,Neutral,SDS,Opposition,Right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u183,Term 5,2009-05-15,0.34,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u179,Term 5,2009-05-15,0.51,Mixed Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u177,Term 5,2009-05-15,0.8,Mixed Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u175,Term 5,2009-05-15,0.8,Mixed Negative,Negative,Zares,Coalition,Centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u173,Term 5,2009-05-15,0.03,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u169,Term 5,2009-05-15,0.85,Mixed Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u167,Term 5,2009-05-15,1.86,Neutral Negative,Neutral,SDS,Opposition,Right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u165,Term 5,2009-05-15,0.0,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u163,Term 5,2009-05-15,0.08,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u161,Term 5,2009-05-15,0.08,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u159,Term 5,2009-05-15,2.85,Neutral Positive,Neutral,Zares,Coalition,Centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u157,Term 5,2009-05-15,1.96,Neutral Negative,Neutral,Zares,Coalition,Centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u155,Term 5,2009-05-15,0.67,Mixed Negative,Negative,Zares,Coalition,Centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u153,Term 5,2009-05-15,2.55,Neutral Positive,Neutral,Zares,Coalition,Centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u151,Term 5,2009-05-15,1.22,Mixed Negative,Negative,Zares,Coalition,Centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u149,Term 5,2009-05-15,2.55,Neutral Positive,Neutral,Zares,Coalition,Centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u147,Term 5,2009-05-15,2.98,Neutral Positive,Neutral,Zares,Coalition,Centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u143,Term 5,2009-05-15,2.39,Neutral Negative,Neutral,Zares,Coalition,Centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u99,Term 5,2009-05-15,0.0,Negative,Negative,SNS,Opposition,Right to far-right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u20,Term 5,2009-05-15,0.09,Negative,Negative,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u95,Term 5,2009-05-15,0.0,Negative,Negative,Zares,Coalition,Centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u43,Term 5,2009-05-15,0.32,Negative,Negative,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u41,Term 5,2009-05-15,0.15,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u39,Term 5,2009-05-15,1.29,Mixed Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u37,Term 5,2009-05-15,0.84,Mixed Negative,Negative,SLS,Opposition,Centre-right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u35,Term 5,2009-05-15,0.06,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u33,Term 5,2009-05-15,0.01,Negative,Negative,NeP,,
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u31,Term 5,2009-05-15,0.18,Negative,Negative,LDS,Coalition,Centre to centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u29,Term 5,2009-05-15,0.66,Mixed Negative,Negative,SLS,Opposition,Centre-right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u27,Term 5,2009-05-15,3.03,Neutral Positive,Neutral,SNS,Opposition,Right to far-right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u25,Term 5,2009-05-15,0.32,Negative,Negative,Zares,Coalition,Centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u22,Term 5,2009-05-15,0.69,Mixed Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u191,Term 5,2009-05-15,0.4,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u18,Term 5,2009-05-15,1.41,Mixed Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u16,Term 5,2009-05-15,2.13,Neutral Negative,Neutral,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u14,Term 5,2009-05-15,3.66,Mixed Positive,Positive,LDS,Coalition,Centre to centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u12,Term 5,2009-05-15,0.84,Mixed Negative,Negative,SLS,Opposition,Centre-right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u10,Term 5,2009-05-15,0.76,Mixed Negative,Negative,SNS,Opposition,Right to far-right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u8,Term 5,2009-05-15,0.14,Negative,Negative,DeSUS,Coalition,Centre to centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u6,Term 5,2009-05-15,1.75,Neutral Negative,Neutral,Zares,Coalition,Centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u4,Term 5,2009-05-15,3.36,Neutral Positive,Neutral,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u2,Term 5,2009-05-15,1.7,Neutral Negative,Neutral,SLS,Opposition,Centre-right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u45,Term 5,2009-05-15,0.06,Negative,Negative,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u97,Term 5,2009-05-15,0.0,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u47,Term 5,2009-05-15,0.36,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u51,Term 5,2009-05-15,3.38,Neutral Positive,Neutral,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u93,Term 5,2009-05-15,0.0,Negative,Negative,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u91,Term 5,2009-05-15,0.0,Negative,Negative,Zares,Coalition,Centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u89,Term 5,2009-05-15,0.07,Negative,Negative,Zares,Coalition,Centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u87,Term 5,2009-05-15,0.35,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u85,Term 5,2009-05-15,0.65,Mixed Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u83,Term 5,2009-05-15,0.0,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u81,Term 5,2009-05-15,0.0,Negative,Negative,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u79,Term 5,2009-05-15,0.0,Negative,Negative,LDS,Coalition,Centre to centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u77,Term 5,2009-05-15,0.13,Negative,Negative,SLS,Opposition,Centre-right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u75,Term 5,2009-05-15,0.0,Negative,Negative,SNS,Opposition,Right to far-right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u73,Term 5,2009-05-15,3.85,Mixed Positive,Positive,SDS,Opposition,Right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u71,Term 5,2009-05-15,0.01,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u69,Term 5,2009-05-15,4.76,Positive,Positive,SLS,Opposition,Centre-right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u67,Term 5,2009-05-15,2.98,Neutral Positive,Neutral,SLS,Opposition,Centre-right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u65,Term 5,2009-05-15,0.28,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u63,Term 5,2009-05-15,3.18,Neutral Positive,Neutral,Zares,Coalition,Centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u61,Term 5,2009-05-15,1.18,Mixed Negative,Negative,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u59,Term 5,2009-05-15,0.05,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u57,Term 5,2009-05-15,3.16,Neutral Positive,Neutral,LDS,Coalition,Centre to centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u55,Term 5,2009-05-15,3.28,Neutral Positive,Neutral,SDS,Opposition,Right
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u53,Term 5,2009-05-15,1.67,Neutral Negative,Neutral,Zares,Coalition,Centre-left
ParlaMint-SI_2009-05-15-SDZ5-Redna-05.ana.u49,Term 5,2009-05-15,0.22,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u285,Term 5,2009-05-18,4.15,Mixed Positive,Positive,,,
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u283,Term 5,2009-05-18,0.45,Negative,Negative,Zares,Coalition,Centre-left
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u103,Term 5,2009-05-18,3.15,Neutral Positive,Neutral,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u79,Term 5,2009-05-18,2.73,Neutral Positive,Neutral,Zares,Coalition,Centre-left
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u81,Term 5,2009-05-18,2.3,Neutral Negative,Neutral,Zares,Coalition,Centre-left
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u83,Term 5,2009-05-18,0.0,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u85,Term 5,2009-05-18,1.84,Neutral Negative,Neutral,Zares,Coalition,Centre-left
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u87,Term 5,2009-05-18,2.54,Neutral Positive,Neutral,SDS,Opposition,Right
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u89,Term 5,2009-05-18,0.94,Mixed Negative,Negative,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u91,Term 5,2009-05-18,1.61,Neutral Negative,Neutral,SDS,Opposition,Right
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u93,Term 5,2009-05-18,3.47,Neutral Positive,Neutral,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u95,Term 5,2009-05-18,2.8,Neutral Positive,Neutral,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u97,Term 5,2009-05-18,0.0,Negative,Negative,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u99,Term 5,2009-05-18,0.31,Negative,Negative,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u101,Term 5,2009-05-18,1.63,Neutral Negative,Neutral,,,
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u105,Term 5,2009-05-18,2.26,Neutral Negative,Neutral,,,
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u107,Term 5,2009-05-18,0.09,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u109,Term 5,2009-05-18,0.55,Mixed Negative,Negative,,,
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u111,Term 5,2009-05-18,0.33,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u113,Term 5,2009-05-18,0.6,Mixed Negative,Negative,,,
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u139,Term 5,2009-05-18,3.59,Mixed Positive,Positive,SLS,Opposition,Centre-right
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u137,Term 5,2009-05-18,0.05,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u135,Term 5,2009-05-18,0.88,Mixed Negative,Negative,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u133,Term 5,2009-05-18,0.08,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u131,Term 5,2009-05-18,0.75,Mixed Negative,Negative,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u58,Term 5,2009-05-18,0.31,Negative,Negative,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u78,Term 5,2009-05-18,1.19,Mixed Negative,Negative,SNS,Opposition,Right to far-right
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u129,Term 5,2009-05-18,0.03,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u125,Term 5,2009-05-18,0.16,Negative,Negative,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u123,Term 5,2009-05-18,0.44,Negative,Negative,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u121,Term 5,2009-05-18,0.92,Mixed Negative,Negative,SNS,Opposition,Right to far-right
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u119,Term 5,2009-05-18,2.56,Neutral Positive,Neutral,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u117,Term 5,2009-05-18,2.13,Neutral Negative,Neutral,SNS,Opposition,Right to far-right
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u115,Term 5,2009-05-18,0.0,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u127,Term 5,2009-05-18,0.07,Negative,Negative,,,
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u76,Term 5,2009-05-18,0.28,Negative,Negative,SNS,Opposition,Right to far-right
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u74,Term 5,2009-05-18,0.51,Mixed Negative,Negative,Zares,Coalition,Centre-left
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u72,Term 5,2009-05-18,4.97,Positive,Positive,Zares,Coalition,Centre-left
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u30,Term 5,2009-05-18,3.13,Neutral Positive,Neutral,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u32,Term 5,2009-05-18,0.0,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u34,Term 5,2009-05-18,4.24,Mixed Positive,Positive,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u36,Term 5,2009-05-18,0.46,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u38,Term 5,2009-05-18,0.12,Negative,Negative,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u40,Term 5,2009-05-18,3.53,Mixed Positive,Positive,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u28,Term 5,2009-05-18,0.0,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u42,Term 5,2009-05-18,0.79,Mixed Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u46,Term 5,2009-05-18,2.75,Neutral Positive,Neutral,SDS,Opposition,Right
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u48,Term 5,2009-05-18,2.56,Neutral Positive,Neutral,SDS,Opposition,Right
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u50,Term 5,2009-05-18,3.0,Neutral Positive,Neutral,SDS,Opposition,Right
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u52,Term 5,2009-05-18,2.77,Neutral Positive,Neutral,SDS,Opposition,Right
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u54,Term 5,2009-05-18,0.69,Mixed Negative,Negative,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u56,Term 5,2009-05-18,0.35,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u44,Term 5,2009-05-18,2.93,Neutral Positive,Neutral,SDS,Opposition,Right
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u141,Term 5,2009-05-18,3.75,Mixed Positive,Positive,Zares,Coalition,Centre-left
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u26,Term 5,2009-05-18,3.47,Neutral Positive,Neutral,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u22,Term 5,2009-05-18,4.14,Mixed Positive,Positive,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u70,Term 5,2009-05-18,3.33,Neutral Positive,Neutral,SDS,Opposition,Right
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u68,Term 5,2009-05-18,3.53,Mixed Positive,Positive,Zares,Coalition,Centre-left
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u66,Term 5,2009-05-18,2.48,Neutral Negative,Neutral,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u64,Term 5,2009-05-18,2.07,Neutral Negative,Neutral,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u62,Term 5,2009-05-18,2.65,Neutral Positive,Neutral,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u2,Term 5,2009-05-18,1.71,Neutral Negative,Neutral,,,
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u24,Term 5,2009-05-18,4.38,Mixed Positive,Positive,SLS,Opposition,Centre-right
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u5,Term 5,2009-05-18,0.34,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u10,Term 5,2009-05-18,2.98,Neutral Positive,Neutral,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u12,Term 5,2009-05-18,0.34,Negative,Negative,SNS,Opposition,Right to far-right
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u14,Term 5,2009-05-18,4.04,Mixed Positive,Positive,SD,Coalition,Centre-left
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u16,Term 5,2009-05-18,0.22,Negative,Negative,SNS,Opposition,Right to far-right
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u18,Term 5,2009-05-18,1.3,Mixed Negative,Negative,SNS,Opposition,Right to far-right
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u20,Term 5,2009-05-18,0.47,Negative,Negative,SLS,Opposition,Centre-right
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u8,Term 5,2009-05-18,0.18,Negative,Negative,SNS,Opposition,Right to far-right
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u143,Term 5,2009-05-18,0.62,Mixed Negative,Negative,SLS,Opposition,Centre-right
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u60,Term 5,2009-05-18,0.04,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u147,Term 5,2009-05-18,2.9,Neutral Positive,Neutral,Zares,Coalition,Centre-left
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u237,Term 5,2009-05-18,0.04,Negative,Negative,SDS,Opposition,Right
ParlaMint-SI_2009-05-18-SDZ5-Redna-06.ana.u235,Term 5,2009-05-18,0.11,Negative,Negative,SD,Coalition,Centre-left
