id,text,timestamp_tamara,flagged_tamara,comment_tamara,tag_tamara,timestamp_anze,flagged_anze,comment_anze,tag_anze,rev_tamara,rev_anze,final_tag,Unnamed: 13
371,"Zato, ker se mi v tem pogledu torej ni zdelo tako zelo nujno predstavljati nekaterih številk, sploh pa ne tistih, ki so nezanesljive in ki zavajajo.",2023-03-10 15:18:20,,,Negative,2023-03-10 15:27:21,,Statment with negativ sentiment. With direct opinion,Negative,We agree on Negative. ,Statment with negativ sentiment. With direct opinion. Negativ,Negative,
372,"S tem so dani pogoji za posebno rabo jam, v skladu z njihovo ogroženostjo.",2023-03-10 15:18:31,,just a statement,P_Neutral,2023-03-10 15:27:43,,Statment with no direct opinion,P_Neutral,We agree on P_Neutral. ,Statment with no direct opinion but on positiv side. P_Neutral,P_Neutral,
373,"Gre samo za plehki poizkus nečesa, da se uredi preden bo te Vlade konec, ampak tudi na ta način je umazanijo nemogoče oprati.",2023-03-10 15:18:51,,opinion implied,Negative,2023-03-10 15:29:34,,,Negative,We agre on Negative. ,Negativ statment and opinion. Negativ,Negative,
374,"Vlada je obljubila in tako pripravila novi, boljši predlog Zakona o rudarstvu, ki se nanaša tudi na upravljanje z mineralnimi surovinami, in sicer prepoved obsežnega hidravličnega lomljenja.",2023-03-10 15:19:19,,,Positive,2023-03-10 15:29:58,,Negativ statment with no direct opinion,N_Neutral,"I agree with Anže. It's a weak sentance, but with a positive sentiment. I'd also change to P_Neutral.","Statment it's positiv but there is no direct opinion, ''Vlada je pripravila'' for me is not opinion, so it's positiv i agree but no opinion. So P_Neutral",P_Neutral,
375,"Vendar bi rad opozoril, da je zadeva nezdružljiva z veljavnim zakonom o Banki Slovenije pa zakonom o bančništvu.",2023-03-10 15:19:50,,,Negative,2023-03-10 15:30:35,,Negativ statment with direct opinion (bi rad ),Negative,We agree on Negative. ,Negativ statment with direct opinion (bi rad ). Negativ,Negative,
376,"Zdaj boste spet rekli, ja, saj smo bili v času konjunkture, vse je cvetelo, vse je rastlo.",2023-03-10 15:20:32,,sarcasm,P_Neutral,2023-03-10 15:30:51,,S,Negative,I agree with Anže. Negative + sarcasm. Although I have no idea what this sentance means. ,Negativ statment with S. Negativ+S,Negative(S),
377,"Veste, eno je pravičnost pri cenzusu, drugo pa je pravičnost pri štipendijah.",2023-03-10 15:21:35,1.0,just a statement,N_Neutral,2023-03-10 15:31:15,,Negativ statment with direct opinion,Negative,I agree with Anže's comment and would change to Negative.,"Negativ statment with direct opinion, for me ''Veste'' implie spekers opinion. Negative",Negative,
378,"Imamo zelo svež primer, ki nam govori o tem, da je zelo pomembno ohraniti institut interpelacije.",2023-03-10 15:21:59,,"a statement, positve theme",P_Neutral,2023-03-10 15:31:37,,Negativ statment with no direct opinion,P_Neutral,We agree on P_Neutral. ,I corect my self it's Positiv statment with no direct opinion. P_Neutral,P_Neutral,
379,"Prosim, da odredite odmor, da se odločimo, kako dalje pri takšnem načinu dela na seji, ki jo vodite vi.",2023-03-10 15:22:23,,"sarcasm, opinion implied",Negative,2023-03-10 15:32:32,,"Negativ statment with direct opinion, porbabbly S",Negative,We agree on Negative + sarcasm. ,"Negativ statment with direct opinion, porbabbly S. Negativ+S",Negative(S),
380,"Spoštovani gospod minister, sam sem mnenja, da molk ministrstva ni primeren in da bi bilo prav tej skupini državljanov naliti čistega vina.",2023-03-10 15:22:46,,could be sarcasm,Negative,2023-03-10 15:33:10,,Negativ statment with direct opinion with S,Positive,I agree with Anže completly. Negative + sarcasm. ,Negativ statment with direct opinion with S. Negativ+S,Negative(S),
381,"Biznis Združenih držav Amerike, ki bodo Makedoniji prodajale stare tanke za drag denar, potem pa bodo še računali, da bodo te tanke popravljali.",2023-03-10 15:24:33,,"opinion implied, sarcasm",Negative,2023-03-10 15:33:50,,Negativ statment with direct opinion which is very weak,Negative,We agree on Negative. ,"Negativ statment with direct opinion which is very weak, but still Negativ.",Negative,
382,"Debelejši pa ne bo zaradi vaše vsebine, ampak predvsem verjetno zaradi popravkov in pripomb Zakonodajno-pravne službe.",2023-03-10 15:25:17,,,N_Neutral,2023-03-10 15:34:12,,Negativ statment with direct opinion.,Negative,I this for me is just too weak and vague to be strictly Negative. I'd stick with N_Neutral. ,"Negativ statment with direct opinion, nut it's very weak it could be Neutral. Negativ",N_Neutral,
383,"V Sloveniji je veliko draguljev kulturne dediščine, ki še niso dovolj zaščiteni ali raziskani, predvsem pa niso primerno rekonstruirani in prilagojeni potrebam sedanjega časa in sedanjih uporabnikov.",2023-03-10 15:25:48,,"negative theme, a statement",N_Neutral,2023-03-10 15:34:47,,statment with direct no opinion. But statment is overall positiv,P_Neutral,We agree on N_Neutral. ,"Agree with Tamara statment was ment in negativ, but no direct opinion. N_Neutral",N_Neutral,
384,"Z vsakoletnim spremljanjem njegovega dela lahko danes rečemo, da se je doseglo izboljšanje stanja na nekaterih pomembnih področjih, nekatera opozorila pa ostajajo še vedno prezrta.",2023-03-10 15:27:31,,"first part positive, second part 
negative. second with ""pa se vedno"" dampers the positive tome",M_Negative,2023-03-10 15:35:11,,Positiv statment with direct opinion,Positive,I'd stick with my initial label M_Negative. ,Positiv statment with direct opinion. Positiv,M_Negative,Majority rule
385,"Vsi smo že ugotovili, da komuniciranje ni bilo ravno nekako posrečeno, to se strinjam.",2023-03-10 15:28:26,,"first negative, second positive. first wins.",M_Negative,2023-03-10 15:35:33,,Negativ statment with direct opinion,Negative,We agree on M_Negative. ,"Agree with Tamara, first negative, second positive. first wins. M_Negative",M_Negative,
386,"To seveda pomeni veliko odgovornost pri rokovanju s takšno količino podatkov, saj lahko njihova nepravilna ali neodgovorna raba pripelje do zlorab in razkritja osebnih podatkov.",2023-03-10 15:28:42,,,N_Neutral,2023-03-10 15:36:24,,statment with no direct opinion,N_Neutral,We agree on N_Neutral. ,statment with no direct opinion. N_Neutral,N_Neutral,
387,"Seveda, če so to v tem neresnice, potem jaz ne vidim razloga, zakaj ne bi danes, čeprav je dan lažnivcev, te neresnice zanikali.",2023-03-10 15:29:03,,sarcasm,Negative,2023-03-10 15:36:53,,Negativ statment with direct opinion and S,Negative,We agree on Negative + sarcasm.,Negativ statment with direct opinion and S. Negative+S,Negative(S),
388,"To govorjenje gospoda Jerovška je bilo zelo zabavno, zame celo antistresno, prav posebej resno pa ni bilo.",2023-03-10 15:30:12,,"first part positive, second negative. second wins. sarcasm",M_Negative,2023-03-10 15:36:54,,Negativ statment with direct opinion and S,Negative,Hah yes I absolutely agree with Anže on second read. I'd change to Negative + sarcasm. ,Negativ statment with direct opinion and S. Negative+S,Negative(S),
389,"Minister, ki se je še pred časom hvalisal, češ kako da se veseli policijskih preiskav, ki bodo sledile v kratkem, tokrat ni vedel nič, o ničemer.",2023-03-10 15:30:46,,sarcasm,Negative,2023-03-10 15:37:11,,Negativ statment with direct opinion,Negative,We agree on Negative.,Negativ statment with direct opinion. Negative,Negative,
390,"Evo, prejšnji teden, niti nisem imel časa komunicirati z njim, so mojega dobrega prijatelja tudi deložirali.",2023-03-10 15:31:00,,"opinion clear, negative theme",Negative,2023-03-10 15:37:31,,Negativ statment with direct opinion and maybe S,Negative,We agree on Negative. Could also be sarcasm.,Negativ statment with direct opinion and maybe S. Negativ+ S?,Negative(S),
391,"Gre namreč za mnoge, značilne slovenske sadne vrste, ki so naravno odpornejše, žal pa niso atraktivne v smislu profitabilnosti.",2023-03-10 15:31:30,,"first positve, second negatobe. second changes the tone.",M_Negative,2023-03-10 15:37:51,,Negativ statment with no direct opinion,N_Neutral,We agree with M_Negative. ,"Tamara it's right, first positve, second negatobe. second changes the tone. So M_Negative it is. M_Negative ",M_Negative,
392,Z vsebinskega vidika se določbe zakona o zadruga razvrščano v dva zaokrožena vsebinska sklopa.,2023-03-10 15:32:12,,"nothing negative,vague statement",P_Neutral,2023-03-10 15:38:12,,Statment with no direct opinion,P_Neutral,We agree on P_Neutral.,Statment with no direct opinion. P_Neutral,P_Neutral,
393,"Kljub temu ocenjujemo, da je predlagana novela Zakona o vodah dobra in njene rešitve odpravljajo marsikateri glavobol, zato jo bomo v Poslanski skupini Slovenske ljudske stranke tudi soglasno podprli.",2023-03-10 15:32:25,,clear positve opinion,Positive,2023-03-10 15:38:42,,Positiv statment with direct opinion,Positive,We agree on Positive. ,Positiv statment with direct opinion. Positiv,Positive,
394,"Predlog zakona uvaja še novosti glede mirovanja sodniške funkcije in zaostritve določb v zvezi z ocenjevanjem sodniškega dela, kar v Poslanski skupini DeSUS še posebej podpiramo.",2023-03-10 15:32:42,,expressed positive opinion,Positive,2023-03-10 15:39:16,,Positiv statment with direct opinion,Positive,We agree on Positive. ,Positiv statment with direct opinion. Positiv,Positive,
395,"Ni to edina stvari, ki jo je treba v okviru Zakona o socialnem varstvu spremeniti, je pa vse prej kot trivialna, torej ta reorganizacija centra.",2023-03-10 15:33:19,,vague statemt with negative connotatiom,N_Neutral,2023-03-10 15:39:57,,Statment with no direct opinion,P_Neutral,I agree with Anže's comment. N_Neutral. ,"Statment with no direct opinion, but yes it's on more negativ side so N_Neutral",N_Neutral,
396,"Jaz mislim, da je tako kot so vsi ugotavljali, to študentsko delo in malo delo nek unikum, ki ga imamo v Sloveniji.",2023-03-10 15:33:56,,"too vague of a statement, but expressed opinion.",P_Neutral,2023-03-10 15:40:29,,Positiv statment with direct opinion,Positive,Clear opinion so I agree with Anže. Positive. ,"It's clear opinion, so i can agree with Tamara. The statment start with ''Jaz mislim'' so it's claer opinion. Positive",Positive,
397,"Ko je morala biti, morala v javnosti pogojena s koristmi nedemokratične vladne strukture.",2023-03-10 15:34:22,,"implied opinion, strong negative semtiment",Negative,2023-03-10 15:40:44,,,N_Neutral,Implied opinion and strong negative sentiment. I'd also stick with Negative. ,"Tamara it's right, implied opinion, strong negative semtiment. Negative",Negative,
398,"In vi bi zdaj radi še te pol milijarde prenesli, še dodatno darilo tej isti zdravstveni blagajni, hkrati pa ne spremenimo njenega statusa.",2023-03-10 15:34:42,,strong negative opinion,Negative,2023-03-10 15:41:01,,,Negative,We agree on Negative. ,strong negative opinion and statment. Negativ,Negative,
399,"Za Slovenijo je pomembno, da je njen sistem davka na tonažo konkurenčen, razumen, transparenten in enostaven.",2023-03-10 15:34:54,,just a statement,P_Neutral,2023-03-10 15:41:41,,,P_Neutral,We agree on P_Neutral. ,just a statemen on postiv side. P_Neutral,P_Neutral,
400,"Naj na kratko povzamem tekst o polpretekli zgodovini, ki je zelo zanimiv.",2023-03-10 15:35:03,,just a statement,P_Neutral,2023-03-10 15:42:01,,,P_Neutral,We agree on P_Neutral. ,just a statemen on postiv side. P_Neutral,P_Neutral,
