id,text,timestamp_tamara,flagged_tamara,comment_tamara,tag_tamara,timestamp_anze,flagged_anze,comment_anze,tag_anze,timestamp_katja,flagged_katja,comment_katja,tag_katja,rev_tamara,rev_anze,rev_katja,final_tag,notes,disagreement
199,"Tako si človek nehote pravzaprav ustvari vtis, da program ni dober pač zato, ker ga je Šeligo pripravljal.",2023-03-02 14:24:22,,,N_Neutral,2023-03-02 14:25:16,,negativ argumment,N_Neutral,2023-03-02 14:35:38,,"Implied opinion, negative tone, maybe even sarcasm",N_Neutral,Agreement. ,"Implied opinion, negative tone, maybe even sarcasm",Agreement,N_Neutral,,
200,"Niti enkrat več ne presenetite, kar je pravzaprav grozljivo.",2023-03-02 14:24:36,,Sarcasm,Negative,2023-03-02 14:25:38,,negativ opinion,Negative,2023-03-02 14:35:44,,,Negative,Very negative statment + sarcasm.,negativ opinion,Agreement,Negative,,
201,"In to je, kot sem rekel, tisto, kar bo tudi v nadaljevanju vedno znova in znova poganjalo ideje o novih občinah.",2023-03-08 14:09:08,,"Opinion is implied, positive sentiment.",Positive,2023-03-08 14:09:14,,Speaker opinion. It's on positiv side because the second part has the word ''poganjalo'' in it.,P_Neutral,2023-03-08 14:08:37,,"Kot sem rekel - speakers opinion, so positive",Positive,I agree with Katja's initial comment. ''Kot sem rekel'' shows that this is a clear opinion by the speaker. The sentiment is positive and hopeful. Positive. ,"Maybe I didn't perceive the speaker's direct opinion in the text, that's why I also marked Nevtral. But I agree with Katja and Tamara.  Positive.",I would stick with my initial label - Positive,Positive,,
202,"Slednje se odraža tudi v sami vsebini, ki je pomanjkljiva in v določenih segmentih nedodelana.",2023-03-08 14:10:07,,"Implied opinion, negative sentiment.",Negative,2023-03-08 14:11:56,,"The statment is negativ, but it's neutral because there is no direct speaker opinion",N_Neutral,2023-03-08 14:08:48,,,N_Neutral,"Here I'd probably change to N_Neutral. I sort of felt that the opinion is implied, but I agree that it's a very vague sentance. N_Neutral.","The statment is negativ, but it's neutral because there is no direct speaker opinion. N_Neutral","I think the speakers opinion is not directly expressed, and it leans on the negative side, so I would stick with N_Neutral",N_Neutral,,
203,"Krščanski demokrati smo dolžni opozoriti na ponavljajoče zavajanje in oporekanje predlagateljev glede odločitve stroke znotraj Policije, da naj prvič aktivira policijska pooblastila za prepoved gibanja na vnaprej določenih javnih mestih.",2023-03-08 14:12:18,,"Negative theme, negative sentiment ""zavajanje, oporekanje"". Also implied opinion ""smo"".",Negative,2023-03-08 14:15:06,,Negativ statment and negativ sentiment of the speaker,Negative,2023-03-08 14:11:11,,We (KS) - implied speakers opinion,Negative,"We all agree here. ''We'' implies opinion, which is very negative. ",Negativ statment and negativ sentiment of the speaker. Negativ,We're in agreement - Negative,Negative,,
204,"Prav preko vikenda je bila slovenska javnost šokirana z dejstvom, da je ena tako imenovana gradbena baronica zaradi procesnih napak zapustila pripor.",2023-03-08 14:15:07,,Maybe sarcasm,N_Neutral,2023-03-08 14:16:57,,"The sentens is not direct opinion of the person. But for me sentens is the public opinion with negativ side, thats why it's neutral",N_Neutral,2023-03-08 14:11:44,,No implied speakers opinion but negative sentiment,N_Neutral,It represent opinion or reaction of the public and not the speaker. We agree. N_Neutral.,"The sentens is not direct opinion of the person. But for me sentens is the public opinion with negativ side, thats why it's neutral. N_Neutral",We're in agreement - N_Neutral,N_Neutral,,
205,"Preprosto zaradi tega, ker je že danes država zelo velikodušna do nekaterih, ki uživajo popolno zaščito, socialno zaščito.",2023-03-08 14:16:40,1.0,"Although there is no specific negative words, for me the ""preprosto zaradi tega"" implies negative sentiment towards the topic.",N_Neutral,2023-03-08 14:17:16,,,Negative,2023-03-08 14:12:39,,"Statement without implied speakers opinion, with no clear negative sentiment.",P_Neutral,"I'll have to reafirm my first comment. To me the first part ''Preprosto zaradi tega, ker je že danes'' implies that the sentiment behind this sentance must be negative. I's a very broad statement though so I'd have to remain with N_Neutral",I myself perceived that the text was intended as an address to the parliament by the speaker. That's why I marked negative. Negative,"Upon reading the sentence again, I think that I would change my label to N_Neutral, as the speakers opinion is maybe only implied and yes, it does have negative connotations",N_Neutral,,
206,Posojili krč še traja in s tem zavira tudi oživitev jamstvene sheme.,2023-03-08 14:17:30,,"Maybe transcription error ""posojilni"". Negative sentiment, implied opinion.",Negative,2023-03-08 14:18:15,1.0,I can't understand what's the point of the sentence,N_Neutral,2023-03-08 14:16:04,,"Possible transcription error, only weakly implied statement with negative connotation",N_Neutral,"To me this is a very negative sentance, but I think that majority rule will be applied here. Negative.",I can't understand what's the point of the sentence. Like Tamara wrote maybe error. N_Neutral,"I would still stick with N_Neutral, though I can see why one could also precieve this as Negative; N_Neutral",N_Neutral,,
207,"Mora biti vrednota za vsakogar, za vsakega otroka, za vsako učiteljico mora biti samoumevno, da je dvig slovenske zastave veličasten trenutek.",2023-03-08 14:18:28,,"Implied opinion, not just a factual statement. Positive sentiment.",Positive,2023-03-08 14:20:35,,Speakers opinion with maybe S,N_Neutral,2023-03-08 14:19:59,1.0,"Moralisation and preachiness, but the sentiment is unclear, depends on intonation. As there is no explicit opinion and negative sentiment I would suggest P_Neutral",P_Neutral,I think that the reiteration of certain words and  the verve of this speach implies that this is very much the speakers opinion and a positive one at that. At this point I'd stick with positive. ,"I think that the sentence is meant to be mocked, that's why I marked it as Negative. But i would change it's becasue it's has spekers opinion. Negativ","I agree with Tamara - I was between P and P_N labels, but as Tamara points out, the iteration as well as the choice of strong words (veličasten trenutek) implies positive opinion; Positive",Positive,,
208,"Šokantnost dogodkov nas prisiljuje, da začenjamo razumevati, kako nezanesljive so naše osnovne, široko sprejete predpostavke.",2023-03-08 14:20:49,,"Implied sentiment, negative sentiment.",Negative,2023-03-08 14:21:48,,Negativ spekers opinion,Negative,2023-03-08 14:20:05,,"Nas - implied speakers opinion, negative sentiment",Negative,"Implied, very negative opinion by the speaker. We agree. Negative.",The world ''Nas'' is implied spekers opinion. Overall the statment is ment in negativ way. Negativ,We're in agreement -Negative,Negative,,
209,"Zato se mi zdi vsa ta telovadba in izgubljanje časa, ko je začel že kolega Bevk, brezpredmetno in resnično podaljševanje seje.",2023-03-08 14:21:17,,"Clear opinion, negative sentiment.",Negative,2023-03-08 14:22:15,,S,Negative,2023-03-08 14:20:51,,,Negative,"Implied, very negative opinion by the speaker. We agree. Negative.",Agree with Tamara,We're in agreement -Negative,Negative,,
210,"Takšen razlog zagotovo ne more prepričati ne mene ne nobenega drugega, še posebej, ker tukaj ni bilo vprašanja finančnih sredstev.",2023-03-08 14:22:08,,"Clear negation ""ne more"", pronouns ""mene"", negative sentiment.",Negative,2023-03-08 14:24:23,,,N_Neutral,2023-03-08 14:21:19,,"Speakers opinion, negative connotation",Negative,Negation ''ne more'' and pronounse used ''me'' heavily implies speakers opinion. The sentiment is also clearly negative. Negative.,"On the second reading the statment has spekers opinion ''ne more prepričati ne mene'', but yes it's is in negativ. Negativ","Ok, I stick with my first label as well, so Negative",Negative,,
211,"Targetiranje deleža pa povzroča še večji zamik v odločitvah, se pravi, pri tem deležu lahko potem šele sčasoma ugotovimo, ali mu lahko sledimo ali ne.",2023-03-08 14:25:42,1.0,On the fence between negative and N_Neutral.,N_Neutral,2023-03-08 14:26:18,,"Statment is for me negativ, but does not embody the strong feeling of the speaker",N_Neutral,2023-03-08 14:22:14,,Implied speakers opinion and only weak negative sentiment.,N_Neutral,The sentiment is clearly negative. I agree with Anže and Katja in their initial comment. While the speaker's opinion may as well be implied it is a very weak implication and thus we all agree with N_Neutral.,"Statment is for me negativ, but does not embody the strong feeling of the speaker. N_Neutral","As per my initial comment, N_Neutral",N_Neutral,,
212,"Torej, ta ustavna obtožba ne bo dobila podpore niti pri Novi Sloveniji.",2023-03-08 14:25:58,,"Implied opinion, negative sentiment.",Negative,2023-03-08 14:28:07,,"Negativ opinion, but you can't be shore from this sentens if the statment is from one or the other party",N_Neutral,2023-03-08 14:25:20,1.0,"Authorship is unknown, so maybe only implied speakers opinion, but the tone is pretty negative.",Negative,"I agree with Anže's first comment that we cannot be sure who's opinion this is, but I feel like the negativity of this sentance's sentiment is string enough to hold the label Negative. ","Negativ opinion, but you can't be shore from this sentens if the statment is from one or the other party. For that i was sure if spekers opinion is in sentence. N_Neutral","I agree with Anže that authorship is confusing and that we cannot say whether the opinion expressed is the speakers, but I agree with Tamara /stand by my initial label, that the tone is simply too strong to be neutral; Negative",Negative,,
213,Mnenje poslanske skupine Nove Slovenije - Krščanske ljudske stranke se glede zakona o evidentiranju nepremičnin v času od druge obravnave do danes ni nič spremenilo.,2023-03-08 14:28:20,1.0,Since I don't know who the speaker is I'll go to neutral.,N_Neutral,2023-03-08 14:32:13,,"It is not the direct opinion of the speaker, but of the entire party, so I think it should not be positive or negative, but neutral",N_Neutral,2023-03-08 14:28:11,,"Explicit speakers/political party opinion, though the sentiment changes if the speakers is also a member of said party, which we don't know - so probably neutral.",N_Neutral,"A negative sentiment. It really depends on who the speaker is. If the speaker was a part of the mentioned political party then the label would for sure be Negative, but since we don't know who the speaker is, we agree on N_Neutral.","It is not the direct opinion of the speaker, but of the entire party, so I think it should not be positive or negative, but neutral. N_Neutral","We're in agreement, N_Neutral",N_Neutral,,
214,"Lahko vam zagotovim, da bo ministrstvo za šolstvo, znanost in šport naredilo vse, da se bodo stvari korigirale takoj, ko se bodo lahko.",2023-03-08 14:31:44,1.0,Hopeful sentiment.,P_Neutral,2023-03-08 14:32:23,,,Positive,2023-03-08 14:30:05,,Explicit speakers opinion,Positive,"Yes, I'd change this to positive. ''Lahko vam zagotovim'' implies opinion, which is positive. Soo Positive. ",'Lahko vam zagotovim'' is direct spekers opinion. Sentens is positiv. Positiv,"I stand with my label, Positive",Positive,,
215,"Vpliv je še posebej viden v tistem delu gospodarstva, kjer predstavlja električna energija glavni strošek za podjetje.",2023-03-08 14:32:16,,Nothing inherently negative.,M_Positive,2023-03-08 14:33:53,,"No direct opinion, just facts, but on the negativ side because of last part where you have the word ''strošek''",N_Neutral,2023-03-08 14:32:16,,"Vpliv can go either way - positive or negative, but in this context is most probably negative (strosek) the opinion is not explicit",N_Neutral,"I think I made a mistake here, becasue my lable doesn't even compliment my comment. I'd agree with N_Neutral.","No direct opinion, just facts, but on the negativ side because of last part where you have the word ''strošek''","I think, as per my initial comment that it is more N_Neutral",N_Neutral,,
216,"To bi bil eden od tistih ukrepov, ki bi dejansko omogočili, da podjetja, ki delajo v teh območjih, razmišljajo tudi o razvoju.",2023-03-08 14:32:56,,Statemet with positive sentiment.,P_Neutral,2023-03-08 14:34:24,,Positiv sentament,Positive,2023-03-08 14:33:25,,Implied opinion with positive connotation,P_Neutral,"May be implied opinion, but very weak. Sentiment is positive. I'd stick with P_Neutral.",Positiv sentament. But is not so strong and and noted while reading. Positive.,"I would stick with P_Neutral, as the opinion is only implied and the tone is not so overwhemlingl positive to switch it; P_Neutral",P_Neutral,,
217,Ključni cilj predlaganega Zakona o javnofinančni odgovornosti je omejiti javno porabo in omejiti zadolževanje države.,2023-03-08 14:33:41,,"No implied opinion,positive consequence.",P_Neutral,2023-03-08 14:35:29,,"No direct opinion, but on positiv side",P_Neutral,2023-03-08 14:35:16,0.0,"No expressed opinion, but the theme and tone is positive",Positive,"No implied opinin, to me this is just a statement, with a positive connotation. I'd stick with P_Neutral.","No direct opinion, but on positiv side",No direct opinion - agree with Tamara and Anže,P_Neutral,,
218,Glede tega poročila sem pa jaz vaši predsednici že čestital za res iznajdljivost ali pa izvirnost pri izgovoru.,2023-03-08 14:34:09,,sarcasm. impied opinion that is negative.,Negative,2023-03-08 14:36:39,,S,Negative,2023-03-08 14:36:35,,"Sarcasm, though maybe not explicit",Negative,Clear negative view with expressed opinion. We agree Negative.,Clear negative view with expressed opinion. I read the sentence as a mockery. Negativ+S,We're in agreement - Negative(S),Negative(S),,
219,"Če se še malo pogovarjamo glede financ, se je Ljubljana res dodatno zadolžila, da je premostila to zadrego.",2023-03-08 14:34:38,,"No opinion, negative sentiment",N_Neutral,2023-03-08 14:38:12,,"Middle part in negativ and the last is positiv sentiment, but overall is positiv sentence",M_Positive,2023-03-08 14:37:59,,"Implied opinion, with negative connotation",N_Neutral,"Implied, negative opinion, but very weak. Soo I'd stick with N_Neutral. ","Middle part in negativ and the last is positiv sentiment, but overall is positiv sentence. I use flag here as i remember so I' am not 100% sure. So I would change it to N_Neutral.",I would stick with N_Neutral as per my initial comment,N_Neutral,,
220,"In v tistih zadevah je policija dolžna nuditi elementarni javni red in mir, zagotavljati tudi prometno varnost in tako dalje.",2023-03-08 14:35:01,,Factual statement,P_Neutral,2023-03-08 14:38:50,,Positiv statment with no direct opinion,P_Neutral,2023-03-08 14:38:55,,"No clear speakers opinion, and no explicit negative connotation",P_Neutral,"Factual, positive statement. P_Neutral.",Positiv statment with no direct opinion,We're in agreement  - P_Neutral,P_Neutral,,
221,"Eden od redkih v Liberalni demokraciji Slovenije, ki mu z veseljem damo v Slovenski nacionalni stranki podporo.",2023-03-08 14:36:59,,"Opinion implied, positive sentiment.",Positive,2023-03-08 14:39:05,,,Positive,2023-03-08 14:39:55,,Very weird but i think this might actually be positive and with no sarcasm,Positive,"I agree with Katja's initial comment. This seems like a genuine positive statement, with clear opinin. We agree Positive. ",Agree with Tamara. Positive. ,We're in agreement  - Positive,Positive,,
222,Organizirana skrb za otroke s posebnimi potrebami se je v Sloveniji intenzivno razmahnila po drugi svetovni vojni.,2023-03-08 14:37:29,,Statement with positive sentiment.,P_Neutral,2023-03-08 14:39:30,,"Positiv statment, with no direct opinion",P_Neutral,2023-03-08 14:40:26,,Statement with weak positive connotation,P_Neutral,"Statement, with positive sentiment. We agree P_Neutral. ","Positiv statment, with no direct opinion. P_Neutral",We're in agreement  - P_Neutral,P_Neutral,,
223,"123 milijonov evrov vržemo skozi okno in s tem plačujemo še morebitne socialne, predvsem pa varnostne nemire.",2023-03-08 14:37:46,,Very negative sentiment.,Negative,2023-03-08 14:39:58,,Negativ statment with negativ sentiment,Negative,2023-03-08 14:40:59,,Implied speakers opinion and negative,Negative,"Implied opinion, with very negative connotation. Negative. ",Negativ statment with negativ sentiment. Negativ,We're in agreement  - Negative,Negative,,
224,"Glede na potek železniške postaje, bo treba ustrezen del cestnega tovornega prometa preusmeriti na postajo Hodoš in seveda vpeljava tega vlaka pomeni tudi spremembo na obstoječem voznem redu.",2023-03-08 14:38:57,,"Statement, negative sentiment.",N_Neutral,2023-03-08 14:41:01,,"No opinion, just factual statment with maybe negativ consequences",N_Neutral,2023-03-08 14:42:20,,"Statement, but with implied negative consequences",N_Neutral,"Factual statement, with negative sentiment. We agree N_Neutral. ","No opinion, just factual statment with maybe negativ consequences. N_Neutral",We're in agreement  - N_Neutral,N_Neutral,,
225,"Mogoče se preprosto v tej dvorani ne slišimo več, ampak značilnost te Vlade je, da ne sliši niti svojih poslancev, niti poslancev koalicijskih strank.",2023-03-08 14:39:34,,"Implied opinion, with very negative sentiment.",Negative,2023-03-08 14:41:49,,Negativ statment and argumment,Negative,2023-03-08 14:43:17,,Implied speakers opinion and overall negative tone,Negative,"Implied opinion, with very negative connotation. Negative. ",Negativ statment and negativ argumment. Overall negativ.,We're in agreement  - Negative,Negative,,
226,"Pri nas je stroka postavila določene kriterije, kdaj se epidemija razglasi in kdaj se konec prekliče.",2023-03-08 14:40:10,,sarcasm,Negative,2023-03-08 14:42:55,,"No direct opinion, just he/she statment",P_Neutral,2023-03-08 14:44:53,,"Statement but implied sentiment can go either way, would be clear if we can hear the intonation. But as it stands, and the negative connotation is not outright present, i think P_Neutral",P_Neutral,"Hahahah. Okay I knew I'd have this different, but hear me out: the statement says: kdaj se epidemia razglasi in kdaj se KONEC prekliče''. I take this as a sarcastic statement, with a negative connotation as in ''kdaj se konec epidemije prekliče''. Maybe I misunderstood this, but for now I'm gonna stick with Negative + sarcasm.","No direct opinion, just he/she statment. P_Neutral for me but i don't agree with Tamara, for me I just politicol statment nothing more.","I have completely missed the KONEC prekliče; I agree with Tamara, Negative(S)",Negative(S),,
227,"Za širše razumevanje solidarnosti ali pa medgeneracijske solidarnosti in sožitja je treba iskati tudi ravnovesje med tem, da se bremena enakomerno razporejajo med starejšo in mlajšo generacijo.",2023-03-08 14:40:42,,Statement with positive sentiment.,P_Neutral,2023-03-08 14:43:32,,Statment,Positive,2023-03-08 14:46:06,1.0,"No explicit opinion of the speaker, but implied and with positive connotation",P_Neutral,"No explicit opinion, just a statement, with positive sentiment. P_Neutral. ","I would add that i rated text as positiv just becasue of the words '' je treba iskati '', but I am not sure, thats why I  would change it to P_Neutral.",I agree with Tamara and Anže/initial label; P_Neutral,P_Neutral,,
228,Gre za poskus narediti vtis obsegov in vseobsežnih interpelacij.,2023-03-08 14:41:04,1.0,,N_Neutral,2023-03-08 14:44:21,,"Negativ speaker opinion, spekers is using word ''interpelacij''",Negative,2023-03-08 14:47:34,,"Implied opinion, negative topic , accusation. Though it has many grammatic problems and almost does not make sense.",Negative,"Idk, this may be implied opinion, so maybe I'd change to Negatiev. ","Negativ speaker opinion, spekers is using word ''interpelacij'', that word always mean something bad in our political world. Negativ",I stick with my initial label -Negative,Negative,,
229,"In seveda to darilo plačujemo slovenski davkoplačevalci, tako da bomo v Sod morali dati več denarja, tako da oportunitetno izgubljamo ta donos.",2023-03-08 14:41:28,,"Clear opinion, negative sentiment.",Negative,2023-03-08 14:44:56,,Negativ opinion of the speker,Negative,2023-03-08 14:47:47,,,Negative,Clear negative view with expressed opinion. We agree Negative.,Agree with Tamara.Negativ,We're in agreement -Negative,Negative,,
230,Vsakdo bo moral z zdravniškimi potrdili pokazati svoje obolenje zaradi vojne.,2023-03-08 14:42:09,,"Implied opinion, sarcasm",Negative,2023-03-08 14:45:59,,"No satiment of speker opinion, just factual statment, which is probably positiv for me",P_Neutral,2023-03-08 14:48:55,,"Implied and charged opinion, sarcasm?",Negative,"Implied opinion, with very negative connotation. I'd also mention sarcasm. I'd stick with Negative.  ","No satiment of speker opinion, just factual statment, which is probably positiv for me. P_Neutral",I stick with my initial label -Negative,Negative,,
231,"Ker bo pa šele kasneje ta podatek znan, pa želim to garancijo, to zagotovilo Vlade.",2023-03-08 14:42:59,,"Very weak statement, I think it has a negative sentiment.",N_Neutral,2023-03-08 14:46:53,,Negativ opinion with a negativ sentiment (pa želim to garancijo),Negative,2023-03-08 14:51:02,,"Zelim, implied opinion, but it is more of an request, which does not have any inherit negative connotation",P_Neutral,Here I'd stick with my label. At one point I agree that this is a request but I do not think that it was made in good faith or   with positive sentiment. The implied opinion is also very weak in my opinion. I'd go with N_Neutral.,Negativ opinion with a negativ sentiment (pa želim to garancijo). Negativ,I would change my label to N_Neutral; as per Tamaras' comment,N_Neutral,,
232,"In žal ljudje dostikrat tega ne razumemo, da bolj kot bomo okužbe obvladovali, bolj bo zdravstveni sistem na razpolago in zmogljiv za ostale storitve.",2023-03-08 14:44:28,1.0,"First part negative, second part positive. I think ""ne razumememo"" trumps the entire thing. Implied opinion.",M_Negative,2023-03-08 14:47:51,,"No direct opinion, but the first words are negativ (In žal)",N_Neutral,2023-03-08 14:52:55,,"Statement with implied opinion, regret of something others dont understand, slight negative connotation.",N_Neutral,"First part negative, second part positive. I think ""ne razumememo"" trumps the entire thing. Implied opinion. M_Negative.","No direct opinion, but the first words are negativ (In žal). N_Neutral",I would stick with N_Neutral as I do not sense the second part as inherently positive;,N_Neutral,,
233,"Se spomnite, ko smo v prejšnjem mandatu ustanovili novo občino, ker občani niso bili zadovoljni z županom.",2023-03-08 14:44:55,,"Statement, question, negative theme",N_Neutral,2023-03-08 14:49:19,,"Netrual becasue for me i can't feel speker opinion, but overall sentence is negativ",N_Neutral,2023-03-08 14:57:36,1.0,"Statement and pretty neutral but 'se spomnite' implies this might be call for action, might even be sarcasm.",N_Neutral,"Statement, question, very neutral, with slight implication of opinion. Negative sentiment. We agree N_Neutral. ","Netrual becasue for me i can't feel speker opinion, but overall sentence is negativ. N_Neutral. ",We're in agreement - N_Neutral,N_Neutral,,
234,Zdaj je to tudi v tem predlaganem zakonu že od avgusta.,2023-03-08 14:45:44,,I just hear the negative conotation. Statement. Could be P_Neutral.,N_Neutral,2023-03-08 14:50:05,,No opinion,P_Neutral,2023-03-08 14:59:30,,"To' could be good or bad, but as there is no explicit opinion and the tone does not sound to have negative connotation i think P_neutral.",P_Neutral,"Okay. We agree that this is a pretty neutral statement, but I still lean into negative sentiment. ''Zdaj je to tudi....že od avgusta''. For me me the speaker trys to emphasis that something has been in this ''predlaganem zakonu'' sinde august aka a long time. That is why I will stick with my N_Neutral.",Agree wit Tamara. N_Neutral.,"I agree with Tamara, as it does seem to have more negative connotation; N_Neutral",N_Neutral,,
235,"Če lahko pride pred Državni zbor, lahko pride tudi pred ali pa v šolo.",2023-03-08 14:46:04,,Implied opinion. Negative connotation,Negative,2023-03-08 14:50:47,,Negativ argumment of the speaker,Negative,2023-03-08 15:00:14,,Sarcasm,Negative,"Implied opinion, with very negative sentiment. I'd also agree with sarcam. Negative + sarcasm.",Negativ argumment of the speaker. I don't sens any S. Negativ,We're in agreement - Negative (S),Negative(S),,
236,"Zato vztrajamo pri tem, da je najprej treba urediti odhodkovno stran, ker tako ljudje kot podjetja dodatnih davčnih obremenitev ne morejo več prevzemati.",2023-03-08 14:46:28,,"Clear opinion, negative sentiment.",Negative,2023-03-08 14:51:25,,Negativ opinion (ne morejo več),Negative,2023-03-08 15:02:51,,Explicit opinion of speaker,Negative,Clear negative view with expressed opinion. We agree Negative.,Negativ opinion (ne morejo več). Negativ,We're in agreement - Negative,Negative,,
237,"Ta zakon je danes že drugi na področju socialnega varstva, ki sprošča pogoje in kriterije ter lajša življenje najranljivejše skupine ljudi pri nas.",2023-03-08 14:46:53,,"Statement, positive sentiment.",P_Neutral,2023-03-08 14:52:19,,Positiv statment,Positive,2023-03-08 15:03:02,,,Positive,"I find this statement very vague and I don't really see a strong opinion. Majority rule will prevail here, but I remain with P_neutral. ",Positiv statment. But as Tamara said the positiv sentiment is very weak. Positiv.,"I see the tone as being positive, positive enough to stick with Positive",Positive,,
238,"Beseda delo enakovredno vključuje tiste, za katere je delo utrujajoče, dolgočasno in neprijetno in tiste za katere je čisto zadovoljstvo.",2023-03-08 14:48:14,1.0,"Despite first part having a negative theme I think using the word ""enakovredno"" implies positive sentiment.",P_Neutral,2023-03-08 14:52:45,,No opinion just facts,P_Neutral,2023-03-08 15:04:44,,,P_Neutral,"Despite first part having a negative theme I think using the word ""enakovredno"" implies positive sentiment. We agree with P_Neutral. ",No opinion just facts.,We're in agreement - P_Neutral,P_Neutral,,
239,"Ampak elegantno smo bili preglasovani: kaj pa morete, koliko vas pa je.",2023-03-08 14:48:34,,sarcasm,Negative,2023-03-08 14:53:01,,maybe S,Negative,2023-03-08 15:05:08,,Sarcasm,Negative,"Clear negative view with expressed opinion, with a nice dash of sarcasm. We agree Negative + sarcasm.",Negativ opinion. Maybe S. Negativ.,We're in agreement - Negative(S),Negative(S),,
240,"Zato zmagati tukaj ne moreš, lahko pa poslušamo in poslušali smo celo razpravo zato, da vidimo kakšna so stališča, kakšno je razmišljanje in kaj bomo naredili naprej.",2023-03-08 14:49:32,1.0,"First part negative, second positive. I think second is stronger.",M_Positive,2023-03-08 14:56:23,,"Mixed sentiment, but for me overall the last part is more on positiv note",M_Positive,2023-03-08 15:05:57,,"First part neg,second part positive",M_Positive,"First part negative, second positive. I think second is stronger. First time we all agree on a mixed sentiment, M_Positive. ","Mixed sentiment, but for me overall the last part is more on positiv note. M_Positive. ",We're in agreement - M_Positive,M_Positive,,
241,"Zato so te napovedi še preveč nezanesljive, da bi lahko na njih gradili upanje v znatnejše povečanje prihodkov v bodoče.",2023-03-08 14:50:22,,Lacks context. Just a statement.,N_Neutral,2023-03-08 14:59:04,,"No direct opinion, but because of the word ''nezanesljive'' it's on negativ side",N_Neutral,2023-03-08 15:06:36,,Only implied opinion and weak neg. Sentiment,N_Neutral,"Lacks contect. Very weak, if at all, opinion, but negative sentiment is there. N_Neutral. ","No direct opinion, but because of the word ''nezanesljive'' it's on negativ side. N_Neutral",We're in agreement - N_Neutral,N_Neutral,,
242,"Zato moram reči, da sem resno zaskrbljen nad tem amandmajem, predvsem glede tistih, ki ga zagovarjajo, in tistih, ki ga predlagajo.",2023-03-08 14:50:33,,,Negative,2023-03-08 14:59:27,,Negativ statment and argumment,Negative,2023-03-08 15:06:44,,,Negative,"Clearly expressed opinion, with a negative sentiment. We agree on Negative. ",Negativ statment and argumment. Negativ,We're in agreement - Negative,Negative,,
243,Želel bi izraziti svoje osebno navdušenje nad tem in čestitke gredo tako predsedniku Vlade gospodu Janši kot zunanjemu ministru gospodu Erjavcu in državnemu sekretarju gospodu Kajzerju.,2023-03-08 14:51:03,,,Positive,2023-03-08 15:01:54,,Positiv statment,Positive,2023-03-08 15:08:08,,,Positive,"Positive, heavily opinionated sentance. Positive. ",Agree Tamara. Positiv,We're in agreement - Positive,Positive,,
244,"Ko je prišel na odbor minister Mramor, je izrazil veliko začudenje nad našim amandmajem po zahtevi o usklajevanju pokojnin.",2023-03-08 14:51:42,,"for me the word ""zacudenje"" is negative. Neutral statement.",N_Neutral,2023-03-08 15:04:12,,"Negativ but I am not 100% sure, i put it as negativ just because of the word '' veliko začudenje''",Negative,2023-03-08 15:10:49,1.0,"Veliko zacudenje - could be positive or negative, but i think has a bit negative connotation",N_Neutral,In this context I'd have to say that I see the word ''začudenje'' as a sign of a negative sentiment. The sentance itself is vague and lacks strong opinion. N_Neutral. ,"Negativ but I am not 100% sure, i put it as negativ just because of the word '' veliko začudenje''. Negativ","I agree with Tamara, and woudl stick with N_Neutral",N_Neutral,,
245,"Ne ubogajo, tako kot je bilo predvideno in določeno.",2023-03-08 14:51:50,,,Negative,2023-03-08 15:04:52,,S,Negative,2023-03-08 15:11:03,,,Negative,We agree on negative. ,Negativ,"Agreement, Negative",Negative,,
246,"Iz mnenja izhaja, da je obrazec, s katerim je FIDES sprožil kaotično stanje v zdravstvu, takšen, da ni temeljil na ustreznih pravnih podlagah.",2023-03-08 14:52:32,,Opinion of someone else. Negative connotation.,N_Neutral,2023-03-08 15:05:58,,Negativ argument and of course negativ spekers opinion,Negative,2023-03-08 15:11:15,,,Negative,"This is an opinion or ''izhaja'' someone else comes to this opinion from something. Howere maybe if we say that the sentiment of the sentance is very negative, I'd change this to Negative. ",Negativ argument and of course negativ spekers opinion. Negativ,"Strong negative sentiment, Negative",Negative,,
247,"To se je dokazovalo v prejšnjem mandatu, kot sem že omenil, to se tudi dokazuje v tem mandatu, ko je zadeva zelo zelo nestabilna.",2023-03-08 14:53:02,,Implied opinion. Negative connotation.,Negative,2023-03-08 15:06:09,,Negativ argument and Negativ spekers opinion,Negative,2023-03-08 15:11:54,,"Implied speakers opinion, but negative tone",Negative,"Implied opinion, negative sentiment. We agree on Negative. ",Negativ argument and Negativ spekers opinion. Negativ,"Agreement, Negative",Negative,,
248,"Mi s tem zakonom pravzaprav, naš pristop je v tem, da mi vidimo rezervo predvsem v skrajševanju administrativnih postopkov, da bo več časa ostalo za vsebinsko raven.",2023-03-08 14:53:29,,Clear opinion. implied positive consequences.,Positive,2023-03-08 15:06:52,,Positiv statment with no direct opinion,P_Neutral,2023-03-08 15:13:25,1.0,"Explicit opinion,positive expected consequences, but a weak positive tone, could also be positive",P_Neutral,I'd stick with my label. I think that the opinion of the speaker is clear. The sentiment is positive and for me a little more. I is hopeful. Positive. ,Positiv statment with no direct opinion. P_Neutral,I'd stick with P_Neutral as per my initial comment,P_Neutral,,
